M, N, latency
33, 8192, 8.437670114316821e-07
65, 8192, 1.1279259662493195e-06
129, 8192, 1.6973326075122483e-06
257, 8192, 2.835057158410452e-06
9, 8192, 6.303756124115406e-07
17, 8192, 7.011431682090364e-07
258, 8192, 2.843767011431682e-06
130, 8192, 1.7060424605334784e-06
260, 8192, 2.8611867174741426e-06
66, 8192, 1.1366358192705498e-06
132, 8192, 1.723462166575939e-06
264, 8192, 2.8971148611867176e-06
34, 8192, 8.524768644529124e-07
68, 8192, 1.1551442569406642e-06
136, 8192, 1.7593903102885139e-06
272, 8192, 2.9678824169842135e-06
36, 8192, 8.698965704953729e-07
72, 8192, 1.1899836690255853e-06
144, 8192, 1.8301578660860097e-06
288, 8192, 3.110506260206859e-06
18, 8192, 7.098530212302668e-07
40, 8192, 9.058247142079477e-07
80, 8192, 1.2618399564507348e-06
160, 8192, 1.9727817093086554e-06
320, 8192, 3.3946652150244966e-06
10, 8192, 6.390854654327708e-07
20, 8192, 7.28361458900381e-07
48, 8192, 9.765922700054437e-07
96, 8192, 1.4033750680457268e-06
192, 8192, 2.2569406641262927e-06
384, 8192, 3.964071856287425e-06
12, 8192, 6.565051714752313e-07
24, 8192, 7.632008709853021e-07
64, 8192, 1.1192161132280894e-06
128, 8192, 1.688622754491018e-06
256, 8192, 2.8263473053892217e-06
512, 8192, 5.101796407185628e-06
16, 8192, 6.924333151878062e-07
32, 8192, 8.350571584104518e-07
768, 8192, 7.377245508982036e-06
513, 8192, 5.110506260206859e-06
514, 8192, 5.119216113228089e-06
516, 8192, 5.13663581927055e-06
520, 8192, 5.172563962983125e-06
528, 8192, 5.243331518780621e-06
544, 8192, 5.385955362003266e-06
576, 8192, 5.670114316820904e-06
640, 8192, 6.239520958083833e-06
1024, 8192, 9.652694610778443e-06
1025, 8192, 9.661404463799673e-06
1026, 8192, 9.670114316820904e-06
1028, 8192, 9.688622754491017e-06
1032, 8192, 9.72346216657594e-06
1040, 8192, 9.79531845400109e-06
1056, 8192, 9.93685356559608e-06
1088, 8192, 1.0770821992378879e-05
1152, 8192, 1.1340228633641807e-05
1280, 8192, 1.2477953184540012e-05
1536, 8192, 1.4753402286336419e-05
2049, 8192, 1.9863908546543276e-05
2050, 8192, 1.987261839956451e-05
2052, 8192, 1.989112683723462e-05
2056, 8192, 1.9925966249319543e-05
2064, 8192, 1.999782253674469e-05
2080, 8192, 2.0139357648339683e-05
2112, 8192, 2.0424605334784976e-05
2176, 8192, 2.099292324442025e-05
2304, 8192, 2.2130647795318455e-05
2560, 8192, 2.440609689711486e-05
9, 16384, 7.098530212302668e-07
17, 16384, 8.524768644529124e-07
33, 16384, 1.1366358192705498e-06
65, 16384, 1.7060424605334784e-06
129, 16384, 2.843767011431682e-06
257, 16384, 5.119216113228089e-06
3, 16384, 5.900925421883506e-07
5, 16384, 6.390854654327708e-07
258, 16384, 5.13663581927055e-06
130, 16384, 2.8611867174741426e-06
260, 16384, 5.172563962983125e-06
66, 16384, 1.723462166575939e-06
132, 16384, 2.8971148611867176e-06
264, 16384, 5.243331518780621e-06
34, 16384, 1.1551442569406642e-06
68, 16384, 1.7593903102885139e-06
136, 16384, 2.9678824169842135e-06
272, 16384, 5.385955362003266e-06
18, 16384, 8.698965704953729e-07
36, 16384, 1.1899836690255853e-06
72, 16384, 1.8301578660860097e-06
144, 16384, 3.110506260206859e-06
288, 16384, 5.670114316820904e-06
10, 16384, 7.28361458900381e-07
20, 16384, 9.058247142079477e-07
40, 16384, 1.2618399564507348e-06
80, 16384, 1.9727817093086554e-06
160, 16384, 3.3946652150244966e-06
320, 16384, 6.239520958083833e-06
12, 16384, 7.632008709853021e-07
24, 16384, 9.765922700054437e-07
48, 16384, 1.4033750680457268e-06
96, 16384, 2.2569406641262927e-06
192, 16384, 3.964071856287425e-06
384, 16384, 7.377245508982036e-06
6, 16384, 6.565051714752313e-07
16, 16384, 8.350571584104518e-07
32, 16384, 1.1192161132280894e-06
64, 16384, 1.688622754491018e-06
128, 16384, 2.8263473053892217e-06
256, 16384, 5.101796407185628e-06
512, 16384, 9.652694610778443e-06
4, 16384, 6.216657593903102e-07
8, 16384, 6.924333151878062e-07
768, 16384, 1.4753402286336419e-05
513, 16384, 9.670114316820904e-06
514, 16384, 9.688622754491017e-06
516, 16384, 9.72346216657594e-06
520, 16384, 9.79531845400109e-06
528, 16384, 9.93685356559608e-06
544, 16384, 1.0770821992378879e-05
576, 16384, 1.1340228633641807e-05
640, 16384, 1.2477953184540012e-05
1024, 16384, 1.9855198693522046e-05
1025, 16384, 1.987261839956451e-05
1026, 16384, 1.989112683723462e-05
1028, 16384, 1.9925966249319543e-05
1032, 16384, 1.999782253674469e-05
1040, 16384, 2.0139357648339683e-05
1056, 16384, 2.0424605334784976e-05
1088, 16384, 2.099292324442025e-05
1152, 16384, 2.2130647795318455e-05
1280, 16384, 2.440609689711486e-05
1536, 16384, 2.950789330430049e-05
2049, 16384, 3.9178007621121395e-05
2050, 16384, 3.9195427327163855e-05
2052, 16384, 3.9231355470876426e-05
2056, 16384, 3.930212302667392e-05
2064, 16384, 3.944474686989657e-05
2080, 16384, 3.972890582471421e-05
2112, 16384, 4.029831246597714e-05
2176, 16384, 4.19858464888405e-05
2304, 16384, 4.426129559063691e-05
2560, 16384, 4.9363091997822536e-05
257, 5120, 1.943385955362003e-06
258, 5120, 1.948829613500272e-06
260, 5120, 1.95971692977681e-06
264, 5120, 1.9825802939575393e-06
272, 5120, 2.0261295590636907e-06
288, 5120, 2.115405552531301e-06
320, 5120, 2.2928688078388677e-06
384, 5120, 2.648884050081655e-06
512, 5120, 3.3598258029395753e-06
768, 5120, 4.781709308655416e-06
513, 5120, 3.3652694610778443e-06
514, 5120, 3.3707131192161133e-06
516, 5120, 3.382689167120305e-06
520, 5120, 3.4044637996733804e-06
528, 5120, 3.4491017964071856e-06
544, 5120, 3.537289058247142e-06
576, 5120, 3.7158410451823626e-06
640, 5120, 4.070767555797496e-06
1024, 5120, 6.204681545998911e-06
1025, 5120, 6.21012520413718e-06
1026, 5120, 6.215568862275449e-06
1028, 5120, 6.226456178551987e-06
1032, 5120, 6.249319542732716e-06
1040, 5120, 6.292868807838868e-06
1056, 5120, 6.382144801306478e-06
1088, 5120, 6.559608056614045e-06
1152, 5120, 6.915623298856832e-06
1280, 5120, 7.626565051714752e-06
1536, 5120, 9.048448557430593e-06
2049, 5120, 1.2413718018508438e-05
2050, 5120, 1.2419161676646706e-05
2052, 5120, 1.2430048992923245e-05
2056, 5120, 1.2452912357103975e-05
2064, 5120, 1.2497550353837778e-05
2080, 5120, 1.2585737615677736e-05
2112, 5120, 1.2764289602612956e-05
2176, 5120, 1.311921611322809e-05
2304, 5120, 1.3830157866086009e-05
2560, 5120, 1.5253130103429504e-05
257, 7168, 2.7011431682090365e-06
258, 7168, 2.7098530212302666e-06
260, 7168, 2.72509526401742e-06
264, 7168, 2.755579749591726e-06
272, 7168, 2.818726183995645e-06
288, 7168, 2.9428415895481764e-06
320, 7168, 3.192161132280893e-06
384, 7168, 3.689711486118672e-06
512, 7168, 4.68481219379423e-06
768, 7168, 6.676102340773e-06
513, 7168, 4.692433315187806e-06
514, 7168, 4.700054436581383e-06
516, 7168, 4.716385410996189e-06
520, 7168, 4.746869896570496e-06
528, 7168, 4.808927599346761e-06
544, 7168, 4.934131736526946e-06
576, 7168, 5.182362547632009e-06
640, 7168, 5.681001633097442e-06
1024, 7168, 8.667392487751769e-06
1025, 7168, 8.675013609145346e-06
1026, 7168, 8.682634730538922e-06
1028, 7168, 8.697876973326076e-06
1032, 7168, 8.729450190528035e-06
1040, 7168, 8.7915078933043e-06
1056, 7168, 8.915623298856832e-06
1088, 7168, 9.164942841589548e-06
1152, 7168, 9.662493195427327e-06
1280, 7168, 1.136091453456723e-05
1536, 7168, 1.3352204681546e-05
2049, 7168, 1.8044637996733804e-05
2050, 7168, 1.8052259118127382e-05
2052, 7168, 1.806859009254219e-05
2056, 7168, 1.8099074578116493e-05
2064, 7168, 1.816113228089276e-05
2080, 7168, 1.8286336418072945e-05
2112, 7168, 1.8534567229178008e-05
2176, 7168, 1.9033206314643442e-05
2304, 7168, 2.0028307022318998e-05
2560, 7168, 2.201959716929777e-05
