M, N, latency
512, 64, 7.947740881872618e-08
64, 128, 3.9439303211758304e-08
64, 256, 7.561241154055526e-08
64, 512, 1.4795862819814915e-07
64, 1024, 2.937397931409908e-07
64, 2048, 5.842133913990202e-07
64, 4096, 1.1662493195427328e-06
64, 8192, 2.331409907457812e-06
64, 16384, 4.662819814915624e-06
64, 32768, 9.322373434948286e-06
64, 65536, 1.864148067501361e-05
64, 131072, 3.728187261839957e-05
1024, 64, 1.502449646162221e-07
2048, 64, 2.896026129559064e-07
4096, 64, 5.62874251497006e-07
512, 64, 7.947740881872618e-08
1024, 64, 1.502449646162221e-07
2048, 64, 2.896026129559064e-07
512, 64, 7.947740881872618e-08
1024, 64, 1.502449646162221e-07
512, 64, 7.947740881872618e-08
1024, 128, 2.896026129559064e-07
2048, 128, 5.62874251497006e-07
4096, 128, 1.1061513336962438e-06
8192, 128, 2.1807294501905282e-06
1024, 128, 2.896026129559064e-07
2048, 128, 5.62874251497006e-07
4096, 128, 1.1061513336962438e-06
1024, 128, 2.896026129559064e-07
2048, 128, 5.62874251497006e-07
1024, 128, 2.896026129559064e-07
2048, 256, 1.1061513336962438e-06
4096, 256, 2.1807294501905282e-06
8192, 256, 4.2972237343494824e-06
16384, 256, 8.52367991290147e-06
2048, 256, 1.1061513336962438e-06
4096, 256, 2.1807294501905282e-06
8192, 256, 4.2972237343494824e-06
2048, 256, 1.1061513336962438e-06
4096, 256, 2.1807294501905282e-06
2048, 256, 1.1061513336962438e-06
4096, 512, 4.324442025040828e-06
8192, 512, 8.52367991290147e-06
16384, 512, 1.6922155688622755e-05
32768, 512, 3.370604246053348e-05
4096, 512, 4.324442025040828e-06
8192, 512, 8.52367991290147e-06
16384, 512, 1.6922155688622755e-05
4096, 512, 4.324442025040828e-06
8192, 512, 8.52367991290147e-06
4096, 512, 4.324442025040828e-06
8192, 1024, 1.6976592270005444e-05
16384, 1024, 3.370604246053348e-05
32768, 1024, 6.729014697876973e-05
65536, 1024, 0.00013433315187806206
8192, 1024, 1.6976592270005444e-05
16384, 1024, 3.370604246053348e-05
32768, 1024, 6.729014697876973e-05
8192, 1024, 1.6976592270005444e-05
16384, 1024, 3.370604246053348e-05
8192, 1024, 1.6976592270005444e-05
16384, 2048, 6.752095808383234e-05
32768, 2048, 0.00013455089820359282
65536, 2048, 0.0002688579205225912
131072, 2048, 0.0005374697876973327
16384, 2048, 6.752095808383234e-05
32768, 2048, 0.00013455089820359282
65536, 2048, 0.0002688579205225912
16384, 2048, 6.752095808383234e-05
32768, 2048, 0.00013455089820359282
16384, 2048, 6.752095808383234e-05
